Unnamed: 0,movieId,count,mean_ratings,genres,name,year,image
15,2019,16531,4.249621922,"['Action', 'Adventure', 'Drama']",Seven Samurai (Shichinin no samurai),1954,https://image.tmdb.org/t/p/w500/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg
16,142115,1061,4.247408106,['Documentary'],The Blue Planet,2001,https://www.reelviews.net/resources/img/default_poster.jpg
17,166024,3080,4.240097403,['(no genres listed)'],Whiplash,2013,https://image.tmdb.org/t/p/w500/dd0MyXqrgIi6s3CqFBMURXjUCEQ.jpg
18,527,73849,4.236990345,"['Drama', 'War']",Schindler's List,1993,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
19,105250,395,4.232911392,['Documentary'],The Century of the Self,2002,https://www.reelviews.net/resources/img/default_poster.jpg
20,2959,77332,4.228779807,"['Action', 'Crime', 'Drama', 'Thriller']",Fight Club,1999,https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
21,904,24883,4.22670096,"['Mystery', 'Thriller']",Rear Window,1954,https://image.tmdb.org/t/p/w500/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg
22,5618,33333,4.213107131,"['Adventure', 'Animation', 'Fantasy']",Spirited Away (Sen to Chihiro no kamikakushi),2001,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg
23,286897,1133,4.207413945,"['Action', 'Adventure', 'Animation', 'Sci-Fi']",Spider-Man: Across the Spider-Verse,2023,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
24,1193,44592,4.204229458,['Drama'],One Flew Over the Cuckoo's Nest,1975,https://image.tmdb.org/t/p/w500/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg
26,750,32830,4.202680475,"['Comedy', 'War']",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://image.tmdb.org/t/p/w500/gHm96BRW4GoI339rF1vYoYTB6Qe.jpg
27,44555,12273,4.198769657,"['Drama', 'Romance', 'Thriller']",The Lives of Others (Das leben der Anderen),2006,https://image.tmdb.org/t/p/w500/bCywq0RkrdI2qzhPNuuJ9PvGuzd.jpg
28,296,98409,4.196968773,"['Comedy', 'Crime', 'Drama', 'Thriller']",Pulp Fiction,1994,https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
29,922,9072,4.195767196,"['Drama', 'Film-Noir', 'Romance']",Sunset Blvd. (a.k.a. Sunset Boulevard),1950,https://image.tmdb.org/t/p/w500/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg
30,912,32190,4.194516931,"['Drama', 'Romance']",Casablanca,1942,https://image.tmdb.org/t/p/w500/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg
31,26082,1270,4.19015748,['Drama'],Harakiri (Seppuku),1962,https://image.tmdb.org/t/p/w500/w7pWcLaYQkbtRUn99K6ome0DblL.jpg
32,1213,42003,4.188427017,"['Crime', 'Drama']",Goodfellas,1990,https://image.tmdb.org/t/p/w500/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg
33,908,20093,4.187254268,"['Action', 'Adventure', 'Mystery', 'Romance', 'Thriller']",North by Northwest,1959,https://image.tmdb.org/t/p/w500/ay0dOKJgyK4VEh3xakV15UgvJMF.jpg
34,195159,10434,4.185259728,"['Action', 'Adventure', 'Animation', 'Sci-Fi']",Spider-Man: Into the Spider-Verse,2018,https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
35,1212,8823,4.184687748,"['Film-Noir', 'Mystery', 'Thriller']",The Third Man,1949,https://image.tmdb.org/t/p/w500/oIF3l7Dxp7Eyye10BNyM611wtKa.jpg
36,3435,6586,4.183495293,"['Crime', 'Drama', 'Film-Noir']",Double Indemnity,1944,https://image.tmdb.org/t/p/w500/kkfKLeOTo7RjS9TxHKpknlL7huS.jpg
37,157373,330,4.18030303,"['Animation', 'Comedy', 'Drama']",It's Such a Beautiful Day,2011,https://image.tmdb.org/t/p/w500/gZIBj1iJAbz5d0pi01FZ4HJLAAq.jpg
38,6016,25688,4.178663189,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",City of God (Cidade de Deus),2002,https://image.tmdb.org/t/p/w500/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg
39,1178,5490,4.178506375,"['Drama', 'War']",Paths of Glory,1957,https://image.tmdb.org/t/p/w500/l2IY0gOHHmCWM90LjteFssxIV1G.jpg
40,228099,922,4.175704989,"['Action', 'Adventure', 'Sci-Fi', 'Western']",Firefly,2002,https://www.reelviews.net/resources/img/default_poster.jpg
41,6818,1498,4.173898531,"['Drama', 'War']",Come and See (Idi i smotri),1985,https://image.tmdb.org/t/p/w500/qNbMsKVzigERgJUbwf8pKyZogpb.jpg
42,100044,489,4.173824131,['Documentary'],Human Planet,2011,https://www.reelviews.net/resources/img/default_poster.jpg
43,58559,59334,4.173349176,"['Action', 'Crime', 'Drama']",The Dark Knight,2008,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
44,3030,5053,4.171581239,"['Action', 'Adventure']",Yojimbo,1961,https://image.tmdb.org/t/p/w500/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg
46,7926,1260,4.164285714,"['Crime', 'Drama', 'Film-Noir', 'Thriller']",High and Low (Tengoku to jigoku),1963,https://image.tmdb.org/t/p/w500/tgNjemQPG96uIezpiUiXFcer5ga.jpg
47,3000,17730,4.164156796,"['Action', 'Adventure', 'Animation', 'Drama', 'Fantasy']",Princess Mononoke (Mononoke-hime),1997,https://image.tmdb.org/t/p/w500/cMYCDADoLKLbB83g4WnJegaZimC.jpg
48,5971,13556,4.161773384,"['Animation', 'Children', 'Drama', 'Fantasy']",My Neighbor Totoro (Tonari no Totoro),1988,https://image.tmdb.org/t/p/w500/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg
49,170777,428,4.161214953,"['Animation', 'Children', 'Comedy']",There Once Was a Dog,1982,https://image.tmdb.org/t/p/w500/7YbdqmDM9h2VmkelGYDKLYbuC5y.jpg
50,926,6068,4.161090969,['Drama'],All About Eve,1950,https://image.tmdb.org/t/p/w500/6numIZH6uR3NlJgY9m7nGH0jhs.jpg
51,146327,174,4.16091954,"['Action', 'Crime']",Can't Change the Meeting Place,1979,https://image.tmdb.org/t/p/w500/dhHYDxxOKzFGRzFkNYk7LEB0FX0.jpg
52,79132,57931,4.157169736,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",Inception,2010,https://image.tmdb.org/t/p/w500/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg
53,2571,93808,4.156436551,"['Action', 'Sci-Fi', 'Thriller']",The Matrix,1999,https://image.tmdb.org/t/p/w500/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg
54,112552,19477,4.154746624,['Drama'],Whiplash,2014,https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg
55,1252,20730,4.15463097,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",Chinatown,1974,https://image.tmdb.org/t/p/w500/mQJz8J4naOA7RmCtypTPjgXZIMY.jpg
56,160718,1918,4.15354536,['Animation'],Piper,2016,https://image.tmdb.org/t/p/w500/rfEkkVzmrMYqGezNLl02mVyJCP2.jpg
57,1260,5728,4.15109986,"['Crime', 'Film-Noir', 'Thriller']",M,1931,https://image.tmdb.org/t/p/w500/slsS6jT6SXjcTPOrsFcLIrHboXA.jpg
58,1284,6665,4.150637659,"['Crime', 'Film-Noir', 'Mystery']",The Big Sleep,1946,https://image.tmdb.org/t/p/w500/lraHo9D8c0YWfxsKqT5P5sVqMKN.jpg
59,2324,29819,4.150373923,"['Comedy', 'Drama', 'Romance', 'War']",Life Is Beautiful (La Vita è bella),1997,https://image.tmdb.org/t/p/w500/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg
60,593,90330,4.148367098,"['Crime', 'Horror', 'Thriller']",The Silence of the Lambs,1991,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg
61,930,5962,4.146511238,"['Film-Noir', 'Romance', 'Thriller']",Notorious,1946,https://image.tmdb.org/t/p/w500/yUjKnpColooH88BFQJwwgNOQ56N.jpg
62,913,14190,4.145630726,"['Film-Noir', 'Mystery']",The Maltese Falcon,1941,https://image.tmdb.org/t/p/w500/bf4o6Uzw5wqLjdKwRuiDrN1xyvl.jpg
63,950,3837,4.143992703,"['Comedy', 'Crime']",The Thin Man,1934,https://image.tmdb.org/t/p/w500/6cL89ok9t8xEKboOjOVga2W66jj.jpg
64,163134,3764,4.143597237,"['Animation', 'Drama', 'Fantasy', 'Romance']",Your Name.,2016,https://image.tmdb.org/t/p/w500/q719jXXEzOoYaps6babgKnONONX.jpg
65,1234,18416,4.143217854,"['Comedy', 'Crime']",The Sting,1973,https://image.tmdb.org/t/p/w500/4VdQopZb0lx13Me3yxE5rUXMGCI.jpg
66,4226,53658,4.141600507,"['Mystery', 'Thriller']",Memento,2000,https://image.tmdb.org/t/p/w500/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg
67,1217,6350,4.141181102,"['Drama', 'War']",Ran,1985,https://image.tmdb.org/t/p/w500/jQnUtWaHYfqnXPOIf77K7Ycqk4M.jpg
68,2920,1239,4.139225182,"['Drama', 'Romance']",Children of Paradise (Les enfants du paradis),1945,https://image.tmdb.org/t/p/w500/yiy9stl1jjVhW44ypkWMFDT8Ix3.jpg
69,1136,46508,4.135632579,"['Adventure', 'Comedy', 'Fantasy']",Monty Python and the Holy Grail,1975,https://image.tmdb.org/t/p/w500/hWx1ANiWEWWyzKPN0us35HCGnhQ.jpg
70,1207,18785,4.134468991,['Drama'],To Kill a Mockingbird,1962,https://image.tmdb.org/t/p/w500/gZycFUMLx2110dzK3nBNai7gfpM.jpg
71,1204,15772,4.134256911,"['Adventure', 'Drama', 'War']",Lawrence of Arabia,1962,https://image.tmdb.org/t/p/w500/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg
72,1201,22922,4.134063345,"['Action', 'Adventure', 'Western']","Good,The  the Bad and the Ugly (Buono, il brutto, il cattivo, Il)",1966,https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg
73,92475,235,4.134042553,['Documentary'],All Watched Over by Machines of Loving Grace,2011,https://www.reelviews.net/resources/img/default_poster.jpg
74,109487,37157,4.133447264,['Sci-Fi'],Interstellar,2014,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
75,898,7445,4.131497649,"['Comedy', 'Drama', 'Romance']",The Philadelphia Story,1940,https://image.tmdb.org/t/p/w500/dKUubjvxO78XDts6VP1Ggcp4R9O.jpg
76,48516,35236,4.131371325,"['Crime', 'Drama', 'Thriller']",The Departed,2006,https://image.tmdb.org/t/p/w500/nT97ifVT2J1yMQmeq20Qblg61T.jpg
77,131724,1285,4.131128405,['Documentary'],The Jinx: The Life and Deaths of Robert Durst,2015,https://www.reelviews.net/resources/img/default_poster.jpg
78,2329,38967,4.130443709,"['Crime', 'Drama']",American History X,1998,https://image.tmdb.org/t/p/w500/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg
79,1196,72151,4.130351624,"['Action', 'Adventure', 'Sci-Fi']",Star Wars: Episode V - The Empire Strikes Back,1980,https://image.tmdb.org/t/p/w500/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg
80,93040,545,4.130275229,"['Documentary', 'War']",The Civil War,1990,https://www.reelviews.net/resources/img/default_poster.jpg
81,1172,10982,4.129985431,['Drama'],Cinema Paradiso (Nuovo cinema Paradiso),1989,https://image.tmdb.org/t/p/w500/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg
82,1233,15804,4.129334346,"['Action', 'Drama', 'War']","Boot,The  Das (Boat)",1981,https://image.tmdb.org/t/p/w500/9nV5YlX05MHC7zZzffY9kgc8r5d.jpg
83,170355,1481,4.128629305,"['Drama', 'Mystery', 'Romance']",Mulholland Dr.,1999,https://image.tmdb.org/t/p/w500/oGXtT5UW8lDWt8uxlww2zw9GmBs.jpg
84,231701,254,4.127952756,"['Action', 'Crime']",Kill Bill: The Whole Bloody Affair,2011,https://image.tmdb.org/t/p/w500/dY9UpmPuIlof7yewacccw3NVJhT.jpg
85,169906,1137,4.126649077,"['Crime', 'Drama']",The Night Of,2016,https://www.reelviews.net/resources/img/default_poster.jpg
86,1147,3998,4.126313157,['Documentary'],When We Were Kings,1996,https://image.tmdb.org/t/p/w500/lsQsehijQMcrQm78800ecp22lqb.jpg
87,1248,5718,4.124344176,"['Crime', 'Film-Noir', 'Thriller']",Touch of Evil,1958,https://image.tmdb.org/t/p/w500/1pvRgmfBaoMczIJBOi9gCOZ4FMC.jpg
88,134796,133,4.12406015,['Documentary'],Bitter Lake,2015,https://image.tmdb.org/t/p/w500/jex77zwHSkbd4DUe8NKbMjtArJT.jpg
89,2859,2622,4.122616323,"['Documentary', 'Musical']",Stop Making Sense,1984,https://image.tmdb.org/t/p/w500/uFMsMsk1NGo0QWs9IHknZVHSe4O.jpg
91,1208,32518,4.119902823,"['Action', 'Drama', 'War']",Apocalypse Now,1979,https://image.tmdb.org/t/p/w500/eQVH91OSxh5I2uRfJuw4owd2Fq9.jpg
92,1197,46957,4.119108972,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",The Princess Bride,1987,https://image.tmdb.org/t/p/w500/dvjqlp2sAhUeFjUOfQDgqwpphHj.jpg
93,173535,122,4.118852459,['(no genres listed)'],The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger,1980,https://www.reelviews.net/resources/img/default_poster.jpg
94,92259,18416,4.118809731,"['Comedy', 'Drama']",Intouchables,2011,https://image.tmdb.org/t/p/w500/323BP0itpxTsO0skTwdnVmf7YC9.jpg
95,252710,283,4.118374558,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Sci-Fi']",Attack On Titan,2013,https://www.reelviews.net/resources/img/default_poster.jpg
96,48780,32965,4.117730927,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",The Prestige,2006,https://image.tmdb.org/t/p/w500/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg
97,127052,587,4.117546848,"['Comedy', 'Crime', 'Romance']",Operation 'Y' & Other Shurik's Adventures,1965,https://image.tmdb.org/t/p/w500/di0OpDXkIj53Fv2wy6f5As8AbNA.jpg
98,903,19529,4.117005479,"['Drama', 'Mystery', 'Romance', 'Thriller']",Vertigo,1958,https://image.tmdb.org/t/p/w500/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg
99,608,58031,4.116532543,"['Comedy', 'Crime', 'Drama', 'Thriller']",Fargo,1996,https://image.tmdb.org/t/p/w500/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg
100,3134,1963,4.115384615,"['Drama', 'War']",Grand Illusion (La grande illusion),1937,https://image.tmdb.org/t/p/w500/lWg41zE0FVixkNsFgxnlRyvDYv9.jpg
101,1280,3664,4.11503821,['Drama'],Raise the Red Lantern (Da hong deng long gao gao gua),1991,https://image.tmdb.org/t/p/w500/j6MGZpg55cTqlHHwahBtzI2qQg1.jpg
102,905,5074,4.114603863,"['Comedy', 'Romance']",It Happened One Night,1934,https://image.tmdb.org/t/p/w500/2PNUGWAflH6UUumas0POMmokHlc.jpg
103,1254,6377,4.114552297,"['Action', 'Adventure', 'Drama', 'Western']",The Treasure of the Sierra Madre,1948,https://image.tmdb.org/t/p/w500/pWcst7zVbi8Z8W6GFrdNE7HHRxL.jpg
104,1209,7227,4.114501176,"['Action', 'Drama', 'Western']",Once Upon a Time in the West (C'era una volta il West),1968,https://image.tmdb.org/t/p/w500/qbYgqOczabWNn2XKwgMtVrntD6P.jpg
105,160289,658,4.113981763,['Documentary'],O.J.: Made in America,2016,https://image.tmdb.org/t/p/w500/nFmg2G4IJ0x9mALXkYFN8Gw0Dw5.jpg
106,6669,2069,4.11261479,['Drama'],Ikiru,1952,https://image.tmdb.org/t/p/w500/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg
107,31658,16009,4.112218127,"['Adventure', 'Animation', 'Fantasy', 'Romance']",Howl's Moving Castle (Hauru no ugoku shiro),2004,https://image.tmdb.org/t/p/w500/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg
108,1198,67408,4.111893247,"['Action', 'Adventure']",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1981,https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg
109,1148,17652,4.111800363,"['Animation', 'Children', 'Comedy', 'Crime']",Wallace & Gromit: The Wrong Trousers,1993,https://image.tmdb.org/t/p/w500/mV8SDTjkxrDxu0a0egvFz1lRPU7.jpg
110,1945,6982,4.110999714,"['Crime', 'Drama']",On the Waterfront,1954,https://image.tmdb.org/t/p/w500/fKjLZy9W8VxMOp5OoyWojmLVCQw.jpg
111,541,46289,4.110004537,"['Action', 'Sci-Fi', 'Thriller']",Blade Runner,1982,https://image.tmdb.org/t/p/w500/fwhLegA6z40W0DIy6EGXhzDzlOP.jpg
112,26073,142,4.10915493,"['Drama', 'War']",The Human Condition III (Ningen no joken III),1961,https://image.tmdb.org/t/p/w500/wZG5gTZj6YKOcm653v6BHK8FWXs.jpg
113,3089,4903,4.109116867,['Drama'],Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette),1948,https://image.tmdb.org/t/p/w500/iPdVqIpmR3bRvOQJPrn4pr2KR3q.jpg
114,7099,7392,4.108901515,"['Adventure', 'Animation', 'Drama', 'Fantasy', 'Sci-Fi']",Nausicaä of the Valley of the Wind (Kaze no tani no Naushika),1984,https://image.tmdb.org/t/p/w500/tcrkfB8SRPQCgwI88hQScua6nxh.jpg
115,116897,2980,4.108892617,"['Comedy', 'Drama', 'Thriller']",Wild Tales,2014,https://image.tmdb.org/t/p/w500/pvSty5MCAxdj8LlAEXCDfM1YNOl.jpg
116,98491,3725,4.106174497,"['Animation', 'Comedy', 'Romance']",Paperman,2012,https://image.tmdb.org/t/p/w500/6MXYNvGmI63W8fI3HKlcZzEy1U5.jpg
117,5291,6039,4.105895016,"['Crime', 'Drama', 'Mystery']",Rashomon (Rashômon),1950,https://image.tmdb.org/t/p/w500/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg
118,174703,101,4.103960396,"['Action', 'Animation', 'Sci-Fi', 'Thriller']",I Am So Proud of You,2008,https://image.tmdb.org/t/p/w500/rLOR7LHwXrbD65PeXUHhT42Vf3.jpg
119,147330,207,4.103864734,['Crime'],Sherlock Holmes and Dr. Watson: Acquaintance,1979,https://www.reelviews.net/resources/img/default_poster.jpg
120,1131,3524,4.103291714,"['Drama', 'Mystery']",Jean de Florette,1986,https://image.tmdb.org/t/p/w500/sH9FP9Flff1bGiHkPEKCmOwnzDw.jpg
121,2351,1631,4.102391171,['Drama'],"Nights of Cabiria (Notti di Cabiria, Le)",1957,https://image.tmdb.org/t/p/w500/xF4oCG3PLNbcrtPZbqB3BtkIbKg.jpg
122,670,879,4.10182025,['Drama'],The World of Apu (Apur Sansar),1959,https://image.tmdb.org/t/p/w500/6Tz1Q69o2n3Zwb0ZffzPL0nFt2T.jpg
123,2186,6568,4.101552984,"['Crime', 'Drama', 'Film-Noir', 'Thriller']",Strangers on a Train,1951,https://image.tmdb.org/t/p/w500/ihC083U7ef56Ui4x0P0dobojrZ1.jpg
124,2905,1788,4.101510067,"['Action', 'Adventure', 'Drama']",Sanjuro (Tsubaki Sanjûrô),1962,https://image.tmdb.org/t/p/w500/zW47oIH3bc3ggmmmzTvKqM4Fqjk.jpg
125,1224,4819,4.100954555,"['Action', 'Drama', 'Romance', 'War']",Henry V,1989,https://image.tmdb.org/t/p/w500/ikB1oZb2EijrIEzHB3gH5P38ZWX.jpg
126,120807,678,4.100294985,['Comedy'],John Mulaney: New In Town,2012,https://image.tmdb.org/t/p/w500/ufE8KAkLQT9u91AgDSc5Oxa3DjW.jpg
127,158783,2710,4.100184502,"['Drama', 'Romance', 'Thriller']",The Handmaiden,2016,https://image.tmdb.org/t/p/w500/8MnMGO3oALkaiavehLmsKwvBU8S.jpg
128,260,85010,4.09982355,"['Action', 'Adventure', 'Sci-Fi']",Star Wars: Episode IV - A New Hope,1977,https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
129,1949,2374,4.099410278,['Drama'],"Man for All Seasons, A",1966,https://image.tmdb.org/t/p/w500/fKdIMxsxt2PQlHGqmnl8uSS2C54.jpg
130,5690,6817,4.097916972,"['Animation', 'Drama', 'War']",Grave of the Fireflies (Hotaru no haka),1988,https://image.tmdb.org/t/p/w500/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg
131,3307,3995,4.097747184,"['Comedy', 'Drama', 'Romance']",City Lights,1931,https://image.tmdb.org/t/p/w500/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg
132,127180,129,4.096899225,['Documentary'],The Story of Film: An Odyssey,2011,https://www.reelviews.net/resources/img/default_poster.jpg
133,1262,13217,4.096466672,"['Action', 'Adventure', 'Drama', 'War']",The Great Escape,1963,https://image.tmdb.org/t/p/w500/gBH4H8UMFxl139HaLz6lRuvsel8.jpg
134,745,13944,4.095309811,"['Animation', 'Children', 'Comedy']",Wallace & Gromit: A Close Shave,1995,https://image.tmdb.org/t/p/w500/qdIR27trLyrlJ5nmkbcG3Bomah6.jpg
135,720,8612,4.094809568,"['Adventure', 'Animation', 'Comedy']",Wallace & Gromit: The Best of Aardman Animation,1996,https://image.tmdb.org/t/p/w500/tWkYclnnChwoMMBFECsEjd5hb77.jpg
136,7153,67449,4.094360183,"['Action', 'Adventure', 'Drama', 'Fantasy']",The Lord of the Rings: The Return of the King,2003,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
137,27423,266,4.093984962,"['Adventure', 'Comedy']","O Auto da Compadecida (Dog's Will, A)",2000,https://image.tmdb.org/t/p/w500/m8eFedsS7vQCZCS8WGp5n1bVD0q.jpg
138,293,41846,4.093760455,"['Action', 'Crime', 'Drama', 'Thriller']",Léon: The Professional (a.k.a. The Professional) (Léon),1994,https://image.tmdb.org/t/p/w500/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg
139,96829,5009,4.093531643,['Drama'],The Hunt (Jagten),2012,https://image.tmdb.org/t/p/w500/jkixsXzRh28q3PCqFoWcf7unghT.jpg
140,3429,2791,4.093514869,"['Animation', 'Comedy']",Creature Comforts,1989,https://image.tmdb.org/t/p/w500/Ap8XavPP8AyvW9TDQDAZzEGT200.jpg
141,2858,65158,4.093050738,"['Drama', 'Romance']",American Beauty,1999,https://image.tmdb.org/t/p/w500/wby9315QzVKdW9BonAefg8jGTTb.jpg
142,1189,3126,4.092770313,['Documentary'],The Thin Blue Line,1988,https://image.tmdb.org/t/p/w500/4w4BJk3l8y9gYwPPLRs6uPHOmGL.jpg
143,1089,43730,4.092682369,"['Crime', 'Mystery', 'Thriller']",Reservoir Dogs,1992,https://image.tmdb.org/t/p/w500/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg
144,4993,73122,4.092133694,"['Adventure', 'Fantasy']",The Lord of the Rings: The Fellowship of the Ring,2001,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
145,1704,50824,4.091108531,"['Drama', 'Romance']",Good Will Hunting,1997,https://image.tmdb.org/t/p/w500/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg
146,1250,14726,4.090859704,"['Adventure', 'Drama', 'War']",The Bridge on the River Kwai,1957,https://image.tmdb.org/t/p/w500/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg
147,2731,4201,4.089978577,"['Crime', 'Drama']",The 400 Blows (Les quatre cents coups),1959,https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg
148,1267,10028,4.089948145,"['Crime', 'Thriller', 'War']",The Manchurian Candidate,1962,https://image.tmdb.org/t/p/w500/h0mkK00GjBCJoBYm3yvPdkzlIyV.jpg
149,27773,17331,4.089463966,"['Mystery', 'Thriller']",Old Boy,2003,https://image.tmdb.org/t/p/w500/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg
150,1276,13466,4.088519234,['Drama'],Cool Hand Luke,1967,https://image.tmdb.org/t/p/w500/4ykzTiHKLamh3eZJ8orVICtU2Jp.jpg
151,668,1074,4.088454376,['Drama'],Song of the Little Road (Pather Panchali),1955,https://image.tmdb.org/t/p/w500/frZj5djlU9hFEjMcL21RJZVuG5O.jpg
152,65188,1312,4.087652439,['Documentary'],Dear Zachary: A Letter to a Son About His Father,2008,https://image.tmdb.org/t/p/w500/bVJCQfIfNC01CYOVkvBOtrY1cxy.jpg
153,7396,806,4.087468983,['Drama'],Scenes From a Marriage (Scener ur ett äktenskap),1973,https://image.tmdb.org/t/p/w500/ArKEdvJesIktFX8OAhcdKAOLl6I.jpg
154,136469,464,4.087284483,['Comedy'],Larry David: Curb Your Enthusiasm,1999,https://image.tmdb.org/t/p/w500/m9QE3XkVc9hjDgpRTVoMpTNtfOY.jpg
155,47,63298,4.087198648,"['Mystery', 'Thriller']",Seven (a.k.a. Se7en),1995,https://image.tmdb.org/t/p/w500/6yoghtyTpznpBik8EngEmJskVUO.jpg
156,3677,2175,4.086666667,['Documentary'],Baraka,1992,https://image.tmdb.org/t/p/w500/ldEuJQ4z7zEvL7iXraESWBUfQcz.jpg
